wcat,wdog
7.804316282272338867e-02,-5.367685109376907349e-02
-1.637220010161399841e-02,6.942670792341232300e-02
-1.976260915398597717e-02,3.844502568244934082e-02
-1.196103077381849289e-02,-6.376163568347692490e-03
2.245559357106685638e-02,-4.516028985381126404e-02
1.991485990583896637e-02,2.115036547183990479e-02
-1.654632762074470520e-02,-9.315302595496177673e-03
-2.439681440591812134e-02,4.260144382715225220e-02
-6.944431923329830170e-03,1.956391520798206329e-02
1.012915465980768204e-02,9.860650636255741119e-03
-9.122690185904502869e-03,-6.253627128899097443e-03
-7.750566583126783371e-03,8.393881842494010925e-03
-9.421936701983213425e-04,1.708636991679668427e-03
2.115880697965621948e-02,-2.811410231515765190e-04
2.045901492238044739e-02,-1.049047335982322693e-02
2.387366071343421936e-02,2.845027111470699310e-02
1.066713500767946243e-02,5.720935878343880177e-04
-3.040377981960773468e-02,-1.528431009501218796e-02
-1.300285384058952332e-02,-1.481007505208253860e-02
-5.217601545155048370e-03,2.688360586762428284e-02
-2.126359147951006889e-03,-1.855533337220549583e-03
-2.770723309367895126e-03,-7.624274585396051407e-03
-1.092255208641290665e-02,1.764933019876480103e-02
7.598329335451126099e-02,-9.244799613952636719e-02
4.592715948820114136e-02,-1.350793708115816116e-02
6.743533164262771606e-02,-6.126778200268745422e-02
1.309567969292402267e-02,1.996835693717002869e-02
-2.319754101336002350e-02,1.287229917943477631e-02
-2.391835674643516541e-02,-2.478245459496974945e-02
-2.123611792922019958e-02,1.303513627499341965e-02
-7.179400883615016937e-03,-9.859595447778701782e-03
-1.216001342982053757e-02,-1.268055755645036697e-02
1.556314062327146530e-02,2.055653184652328491e-02
6.946984212845563889e-03,2.138258330523967743e-02
4.352662339806556702e-02,-5.367836728692054749e-02
-4.366220906376838684e-03,-4.670188296586275101e-03
3.262271406129002571e-03,2.895727986469864845e-03
7.355236262083053589e-02,-3.798468783497810364e-02
-1.812715083360671997e-02,1.679729111492633820e-02
2.433766610920429230e-03,8.373097516596317291e-04
1.767496578395366669e-02,1.029893383383750916e-02
-3.305183723568916321e-02,5.442571640014648438e-02
3.844278398901224136e-03,-9.633800014853477478e-03
1.554044988006353378e-02,1.629487983882427216e-02
-4.123980179429054260e-03,-5.555025767534971237e-03
1.074723340570926666e-02,5.393775645643472672e-03
6.440808624029159546e-02,-9.158971905708312988e-02
3.117090649902820587e-02,1.130264345556497574e-02
-2.944865822792053223e-02,1.098940707743167877e-02
4.340240731835365295e-02,-8.656141161918640137e-02
2.883601700887084007e-03,-1.423142012208700180e-02
4.365745931863784790e-03,3.010607557371258736e-03
3.968829661607742310e-02,7.126380689442157745e-03
1.772074401378631592e-02,1.873395964503288269e-02
9.924060665071010590e-03,-1.363350637257099152e-02
-1.810003654100000858e-03,-9.079776937142014503e-04
-1.869440823793411255e-02,1.278704847209155560e-03
-1.520056836307048798e-02,2.720097266137599945e-02
2.475886978209018707e-02,1.167743653059005737e-02
2.270162664353847504e-02,2.149541489779949188e-02
1.372689474374055862e-02,1.192571595311164856e-02
1.009204704314470291e-02,8.422826416790485382e-03
-1.410025451332330704e-02,-1.752868294715881348e-02
1.206192653626203537e-02,6.183864548802375793e-03
2.923527918756008148e-02,-4.186381772160530090e-02
4.875965532846748829e-04,-1.251329295337200165e-02
2.931746887043118477e-03,-1.567632518708705902e-02
4.925869405269622803e-02,-5.625405162572860718e-02
6.900663953274488449e-03,1.139504741877317429e-02
3.045493736863136292e-02,2.777100168168544769e-02
-2.334943227469921112e-02,-3.407116234302520752e-02
-3.528173314407467842e-03,7.243395317345857620e-03
4.571504518389701843e-02,-6.493109464645385742e-02
-2.259398065507411957e-02,-2.760764770209789276e-02
-8.255428634583950043e-03,-2.351075410842895508e-03
1.844849064946174622e-02,1.587067171931266785e-02
-1.925303973257541656e-02,4.670215770602226257e-02
1.110507640987634659e-02,-5.028260499238967896e-02
4.722508043050765991e-02,-5.575093254446983337e-02
1.353708561509847641e-02,1.098537165671586990e-02
-1.235357020050287247e-03,1.059311069548130035e-02
-1.593682356178760529e-02,-9.260059334337711334e-03
-7.575256749987602234e-03,-5.684339441359043121e-03
-1.277639530599117279e-02,2.186722680926322937e-02
2.085674181580543518e-02,-6.446267664432525635e-02
1.754843443632125854e-02,-7.175798993557691574e-03
9.406196768395602703e-04,4.801168106496334076e-03
5.525599420070648193e-02,-6.400249898433685303e-02
-1.857491210103034973e-02,2.080616541206836700e-02
8.393274038098752499e-04,4.998605698347091675e-03
7.457241881638765335e-04,2.386233396828174591e-02
-5.825009662657976151e-03,-2.622054517269134521e-02
5.830317363142967224e-02,-6.873849034309387207e-02
4.377661272883415222e-03,2.641871105879545212e-03
-6.081142649054527283e-02,3.266624733805656433e-02
6.160207092761993408e-02,-2.809886634349822998e-02
-2.520344406366348267e-02,3.416144847869873047e-02
1.528347004204988480e-02,1.358163077384233475e-02
-1.405603252351284027e-03,3.145991649944335222e-04
5.816222401335835457e-04,2.135220682248473167e-03
